,Handle,Impact Hours,% of distribution
334,jpaulet#3269,0.6607142865,7.735891885193792e-05
335,deepcryptodive,0.6607142865,7.735891885193792e-05
336,bimboom66#4846,0.6607142865,7.735891885193792e-05
337,sknuth#9426,0.6486415708,7.594539979651364e-05
338,wildpau,0.6166991577,7.220546168191986e-05
339,jimbobbins,0.6166991577,7.220546168191986e-05
340,jamiepitts,0.6166991577,7.220546168191986e-05
341,erikbjare,0.6166991577,7.220546168191986e-05
342,eduadiez,0.6166991577,7.220546168191986e-05
343,dazuck,0.6166991577,7.220546168191986e-05
344,bradym,0.6166991577,7.220546168191986e-05
345,benjaminaaron,0.6166991577,7.220546168191986e-05
346,Xlebushek#6643,0.5807579475,6.799732933165587e-05
347,tian#6241,0.5807579475,6.799732933165587e-05
348,kaptan48#3044,0.5807579475,6.799732933165587e-05
349,jantanner#2104,0.5807579475,6.799732933165587e-05
350,jahed#1529,0.5807579475,6.799732933165587e-05
351,GOOMBZ#3280,0.5807579475,6.799732933165587e-05
352,fakepixels#6258,0.5807579475,6.799732933165587e-05
353,sethfork,0.5691553863,6.663885773707284e-05
354,OKDuncan,0.518120929,6.066355113088915e-05
355,Leanne#9678,0.518120929,6.066355113088915e-05
356,arcorren,0.518120929,6.066355113088915e-05
357,acryptomuppet,0.518120929,6.066355113088915e-05
358,a_bornstein,0.518120929,6.066355113088915e-05
359,yangwao,0.5134541178,6.01171432866899e-05
360,sanolution,0.5083319774,5.9517423783648953e-05
361,quentin_hb,0.4540678499,5.3163975218035536e-05
362,matiasbd,0.4315110107,5.052293546926205e-05
363,lefterisjp,0.3713641322,4.348071224486856e-05
364,irenioskamoska#7519,0.3713641322,4.348071224486856e-05
365,CleanApp,0.3481247811,4.07597614305008e-05
366,fatrui,0.2893501542,3.3878206595360987e-05
367,youngkidwarrior,0.2701628738,3.163168749053612e-05
368,econaut6,0.207593157,2.4305789226461065e-05
369,scupytrooples,0.1230871751,1.4411510368143334e-05
370,paulsalis,0.1230871751,1.4411510368143334e-05
371,ethicraul,0.1230871751,1.4411510368143334e-05
372,hubway,0.1138547335,1.3330541309152575e-05
373,gijsspoor,0.1138547335,1.3330541309152575e-05
374,marveloushelper,0.1122849878,1.3146749566328683e-05
375,denissrgn,0.08933717579,1.0459933247409694e-05
376,robinwhitney,0.07343633266,8.598202604521493e-06
377,pimpmypeon,0.07343633266,8.598202604521493e-06
378,cryptonian_z,0.07343633266,8.598202604521493e-06
379,asalemalawi,0.04831157635,5.656501442199182e-06
380,wolfofcurrency,0.03771202487,4.415466005911157e-06
381,llll79,0.02762116382,3.2339899623881733e-06
382,immortaz,0.02514134991,2.9436440035504924e-06
383,burningfiat,0.02514134991,2.9436440035504924e-06
